trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
155,False,"{'a': 0.2, 'e': 1.0}",30,0,-67.77123463849087,"{0: 20, 1: 2, 2: 8, 3: 0, 4: 0}",0
156,False,"{'a': 0.2, 'e': 1.0}",25,6,-82.06219923941184,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 0}",1
157,False,"{'a': 0.2, 'e': 1.0}",20,0,-89.07459962354135,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
158,False,"{'a': 0.2, 'e': 1.0}",20,0,-120.03444533546742,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
159,False,"{'a': 0.2, 'e': 1.0}",25,14,-64.78920427260725,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 1}",1
160,False,"{'a': 0.2, 'e': 1.0}",20,0,-128.30781345953764,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
161,False,"{'a': 0.2, 'e': 1.0}",20,0,-102.54084011423859,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
162,False,"{'a': 0.2, 'e': 1.0}",20,0,-82.69455512681981,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
163,False,"{'a': 0.2, 'e': 1.0}",25,0,-154.3800809816711,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
164,False,"{'a': 0.2, 'e': 1.0}",20,0,-78.2749082906217,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
165,False,"{'a': 0.2, 'e': 1.0}",25,2,-95.03753947911574,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 0}",1
166,False,"{'a': 0.2, 'e': 1.0}",20,0,-166.0790311031774,"{0: 10, 1: 2, 2: 3, 3: 3, 4: 2}",0
167,False,"{'a': 0.2, 'e': 1.0}",30,0,-172.02981883517785,"{0: 18, 1: 1, 2: 7, 3: 2, 4: 2}",0
168,False,"{'a': 0.2, 'e': 1.0}",30,0,-53.99478969675651,"{0: 21, 1: 3, 2: 5, 3: 1, 4: 0}",0
169,False,"{'a': 0.2, 'e': 1.0}",20,0,-155.54196891504782,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
170,False,"{'a': 0.2, 'e': 1.0}",35,0,-110.90014893129579,"{0: 24, 1: 2, 2: 7, 3: 1, 4: 1}",0
171,False,"{'a': 0.2, 'e': 1.0}",25,0,-246.63010965513126,"{0: 9, 1: 5, 2: 5, 3: 3, 4: 3}",0
172,False,"{'a': 0.2, 'e': 1.0}",20,0,-95.7296936703824,"{0: 8, 1: 6, 2: 5, 3: 1, 4: 0}",0
